1.559999999999999998e-01,1.559999999999999998e-01,1.559999999999999998e-01,1.519999999999999962e-01,1.539999999999999980e-01
1.539999999999999980e-01,1.539999999999999980e-01,1.539999999999999980e-01,1.519999999999999962e-01,1.519999999999999962e-01
1.499999999999999944e-01,1.559999999999999998e-01,1.559999999999999998e-01,1.539999999999999980e-01,1.559999999999999998e-01
1.559999999999999998e-01,1.539999999999999980e-01,1.559999999999999998e-01,1.580000000000000016e-01,1.539999999999999980e-01
1.559999999999999998e-01,1.559999999999999998e-01,1.559999999999999998e-01,1.559999999999999998e-01,1.580000000000000016e-01
1.559999999999999998e-01,1.559999999999999998e-01,1.539999999999999980e-01,1.539999999999999980e-01,1.559999999999999998e-01
1.539999999999999980e-01,1.519999999999999962e-01,1.559999999999999998e-01,1.539999999999999980e-01,1.539999999999999980e-01
1.519999999999999962e-01,1.539999999999999980e-01,1.559999999999999998e-01,1.539999999999999980e-01,1.519999999999999962e-01
1.499999999999999944e-01,1.559999999999999998e-01,1.539999999999999980e-01,1.559999999999999998e-01,1.559999999999999998e-01
1.559999999999999998e-01,1.539999999999999980e-01,1.499999999999999944e-01,1.559999999999999998e-01,1.580000000000000016e-01
1.539999999999999980e-01,1.580000000000000016e-01,1.559999999999999998e-01,1.479999999999999927e-01,1.559999999999999998e-01
1.519999999999999962e-01,1.580000000000000016e-01,1.559999999999999998e-01,1.519999999999999962e-01,1.539999999999999980e-01
1.539999999999999980e-01,1.580000000000000016e-01,1.519999999999999962e-01,1.499999999999999944e-01,1.559999999999999998e-01
1.519999999999999962e-01,1.539999999999999980e-01,1.539999999999999980e-01,1.539999999999999980e-01,1.559999999999999998e-01
1.580000000000000016e-01,1.539999999999999980e-01,1.559999999999999998e-01,1.580000000000000016e-01,1.559999999999999998e-01
1.539999999999999980e-01,1.580000000000000016e-01,1.539999999999999980e-01,1.559999999999999998e-01,1.559999999999999998e-01
1.559999999999999998e-01,1.600000000000000033e-01,1.499999999999999944e-01,1.539999999999999980e-01,1.559999999999999998e-01
1.580000000000000016e-01,1.559999999999999998e-01,1.580000000000000016e-01,1.600000000000000033e-01,1.600000000000000033e-01
1.620000000000000051e-01,1.640000000000000069e-01,1.620000000000000051e-01,1.640000000000000069e-01,1.640000000000000069e-01
1.660000000000000087e-01,1.700000000000000122e-01,1.680000000000000104e-01,1.700000000000000122e-01,1.700000000000000122e-01
